Week,Queries
2004-01-04,0.23771580399999998
2004-01-11,0.22045152699999998
2004-01-18,0.225763612
2004-01-25,0.23771580399999998
2004-02-01,0.22443559100000002
2004-02-08,0.207171314
2004-02-15,0.24169986699999998
2004-02-22,0.216467463
2004-02-29,0.225763612
2004-03-07,0.199203187
2004-03-14,0.134130146
2004-03-21,0.13811420900000002
2004-03-28,0.14077025199999998
2004-04-04,0.08233731700000001
2004-04-11,0.075697211
2004-04-18,0.071713147
2004-04-25,0.066401062
2004-05-02,0.061088977999999995
2004-05-09,0.046480743
2004-05-16,0.046480743
2004-05-23,0.049136785999999995
2004-05-30,0.051792829000000006
2004-06-06,0.055776892
2004-06-13,0.061088977999999995
2004-06-20,0.06772908400000001
2004-06-27,0.047808765
2004-07-04,0.051792829000000006
2004-07-11,0.04249668
2004-07-18,0.046480743
2004-07-25,0.050464807
2004-08-01,0.054448872
2004-08-08,0.05312085
2004-08-15,0.041168658999999996
2004-08-22,0.049136785999999995
2004-08-29,0.09827357199999999
2004-09-05,0.111553785
2004-09-12,0.154050465
2004-09-19,0.197875167
2004-09-26,0.260292165
2004-10-03,0.322709164
2004-10-10,0.377158034
2004-10-17,0.378486056
2004-10-24,0.31208499300000003
2004-10-31,0.282868527
2004-11-07,0.28552456800000003
2004-11-14,0.305444886
2004-11-21,0.252324037
2004-11-28,0.34130146
2004-12-05,0.324037184
2004-12-12,0.355909695
2004-12-19,0.42629482
2004-12-26,0.545816733
2005-01-02,0.45418326700000006
2005-01-09,0.354581673
2005-01-16,0.389110226
2005-01-23,0.42363877899999997
2005-01-30,0.515272245
2005-02-06,0.598937583
2005-02-13,0.427622842
2005-02-20,0.42231075700000004
2005-02-27,0.36122177899999997
2005-03-06,0.37184595
2005-03-13,0.26560424899999996
2005-03-20,0.33067729100000004
2005-03-27,0.21381142
2005-04-03,0.207171314
2005-04-10,0.15936255
2005-04-17,0.156706507
2005-04-24,0.122177954
2005-05-01,0.146082338
2005-05-08,0.10491367800000001
2005-05-15,0.11686587
2005-05-22,0.09827357199999999
2005-05-29,0.078353254
2005-06-05,0.073041168
2005-06-12,0.083665339
2005-06-19,0.065073041
2005-06-26,0.066401062
2005-07-03,0.073041168
2005-07-10,0.08499336
2005-07-17,0.090305445
2005-07-24,0.09694555199999999
2005-07-31,0.11553784800000001
2005-08-07,0.132802125
2005-08-14,0.135458167
2005-08-21,0.130146083
2005-08-28,0.14077025199999998
2005-09-04,0.13811420900000002
2005-09-11,0.150066401
2005-09-18,0.177954847
2005-09-25,0.301460823
2005-10-02,0.296148739
2005-10-09,0.305444886
2005-10-16,0.253652059
2005-10-23,0.282868527
2005-10-30,0.300132802
2005-11-06,0.22709163300000001
2005-11-13,0.322709164
2005-11-20,0.289508633
2005-11-27,0.314741035
2005-12-04,0.35325365200000003
2005-12-11,0.399734395
2005-12-18,0.39575033200000004
2005-12-25,0.487383798
2006-01-01,0.487383798
2006-01-08,0.38645418299999995
2006-01-15,0.34794156600000004
2006-01-22,0.363877822
2006-01-29,0.401062417
2006-02-05,0.367861885
2006-02-12,0.36918990700000004
2006-02-19,0.387782205
2006-02-26,0.301460823
2006-03-05,0.28552456800000003
2006-03-12,0.28818061100000003
2006-03-19,0.290836653
2006-03-26,0.235059761
2006-04-02,0.184594953
2006-04-09,0.17928286899999998
2006-04-16,0.187250996
2006-04-23,0.14077025199999998
2006-04-30,0.163346614
2006-05-07,0.12749004
2006-05-14,0.131474103
2006-05-21,0.135458167
2006-05-28,0.144754316
2006-06-04,0.132802125
2006-06-11,0.107569721
2006-06-18,0.110225764
2006-06-25,0.107569721
2006-07-02,0.102257636
2006-07-09,0.10358565800000001
2006-07-16,0.08233731700000001
2006-07-23,0.08897742300000001
2006-07-30,0.065073041
2006-08-06,0.078353254
2006-08-13,0.08897742300000001
2006-08-20,0.11288180699999999
2006-08-27,0.10889774199999999
2006-09-03,0.12881806099999998
2006-09-10,0.132802125
2006-09-17,0.21912350600000002
2006-09-24,0.208499336
2006-10-01,0.22310756899999998
2006-10-08,0.235059761
2006-10-15,0.20584329399999998
2006-10-22,0.258964143
